Ca,Na,Si,K,Mg,F-,Cl-,Br-,SO-,Li,Be,B,Al,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,As,Rb,Sr,Y,Mo,Cd,Sb,Cs,Ba,Pb,pH
339.5621181,39259.30023,1.790599572,4170.85619,0.142956266,11.78,61379,173.65,124.78,200.2799582,0.0001,41.45403046,0.189157227,0.001159744,0.004840909,0.070164649,0.511766672,0.000157588,0.003023306,0.008389799,4.63450787,3.00E-06,0.5922343,29.65709481,439.9943289,0.003005392,0.004596284,0.000855577,0.038255688,17.22602646,33.58520558,0.14830894,10.52
236.2942636,39840.38544,2.240496688,4153.405094,0.201097137,12.21,60427.25,165.05,120.87,184.03504,0.0001,39.59446008,0.192150571,0.001165094,0.006973276,0.066905327,0.548940017,0.000275566,0.00459896,0.011602332,4.749996049,3.00E-06,0.684643618,27.53229449,399.0344902,0.002649888,0.004639133,0.000835384,0.063146094,16.03750189,31.10284774,0.201950311,10.34
7795.251274,29891.00876,95.28203309,4536.209965,116.6509062,16.14,62626.68,177.95,139.5,196.2251373,0.03463154,44.56045093,0.170815541,0.001380309,0.003760794,31.07670869,32.65739196,0.004914839,0.006159352,0.006956398,11.77852717,0.000993491,13.82900981,29.15111957,456.3289066,0.003425523,0.004393294,0.034531938,0.205435953,18.17863664,35.72576703,0.860679112,5.04
7601.170349,29162.38403,93.6565429,4385.131931,113.4065509,16.17,64116.78,185.15,147.11,202.2614241,0.037898724,47.63865558,0.192750478,0.001297477,0.003284942,31.76125652,33.64936037,0.005087994,0.005858014,0.007037802,11.5168435,0.001119258,14.17701675,30.26479225,464.6443981,0.003205941,0.004604408,0.034780249,0.211065346,17.32967261,35.31166491,0.903456657,5.2
7685.651207,29681.89087,92.89563596,4497.523785,113.8175279,16.14,64848.75,189.28,151.2,214.8409715,0.03572933,47.31704892,0.200351201,0.001467182,0.00372472,31.5286398,33.04675756,0.005139226,0.006001877,0.008418311,11.34844434,0.001144184,14.24662583,31.16533036,485.8447544,0.003357074,0.004476127,0.035411001,0.22654107,18.3664894,36.67262898,0.98618926,5.54
7510.526276,29240.07797,91.53403938,4344.358921,112.1486664,16.16,62573.94,180.64,144.9,205.6780457,0.033400753,45.72907821,0.181768007,0.001354362,0.003219829,30.70309054,30.48619998,0.005002981,0.0060292,0.005742671,11.22058683,0.001231269,13.63271723,29.76004175,473.9900931,0.003206711,0.004508722,0.035297571,0.218105527,18.03037942,35.99484865,0.87997693,5.9
7411.008453,28523.14224,83.95576179,4270.509338,110.5191976,16.11,64615.57,187.45,148.68,205.2759373,0.012929335,44.94518224,0.319405909,0.001287171,0.004252283,30.1809241,13.34222633,0.004889459,0.006851183,0.067665115,11.00895458,0.000907129,11.54469421,29.15792554,467.7096361,0.003086155,0.004487901,0.035420995,0.204739842,17.73982391,35.79881264,0.370707868,6.22
7481.419373,28913.17062,78.92790735,4292.506313,110.3800625,16.17,63298.46,178.44,140.07,192.8841846,0.006622504,44.12557218,0.176104623,0.00141665,0.003444628,29.85138006,5.137460074,0.004991313,0.016944529,0.011373973,10.48885879,0.00110701,10.51198835,28.50415379,444.8945218,0.003353525,0.004460434,0.033213166,0.193889387,17.71645659,34.65645033,0.19957885,6.29
7494.511414,28590.43808,95.79767883,4345.439243,113.831234,16.08,65349.05,179.84,143.2,186.1447387,0.034673752,42.81213729,0.139402131,0.001337172,0.002955202,29.78889375,31.528409,0.004802688,0.005521143,0.021648007,10.51587966,0.001016945,13.39227174,27.27321997,432.3153325,0.003321195,0.004083388,0.032698204,0.180279453,17.21463769,34.05726182,0.861292646,5.45
6827.975464,28135.15549,19.89171803,4213.088322,71.48517519,13.49,62934.89,178.92,123.48,204.7478354,0.0001,40.72895344,0.156140679,0.001256691,0.002866776,1.479784595,0.49952775,0.000582209,0.004871012,0.016763058,4.526224103,2.00E-06,7.609778747,29.5188998,457.7056177,0.003004199,0.004255335,0.002580512,0.099300518,17.60511369,34.05649489,0.017859137,8.3
